name,Omegab,Omegac,H0,ns,As,w,wa,mnu,Nncdm,Nur,Omeganu,OmegaM,sigma8_m,sigma8_cb
c0037,0.048438,0.214063,61.5625,0.95375,1.9125e-09,-0.821875,0.171875,0.089062,1.0,2.0328,0.002523,0.265023,0.544506,0.549272
c0038,0.058438,0.284062,71.5625,0.99375,2.3125e-09,-1.121875,-0.328125,0.239062,1.0,2.0328,0.005012,0.347512,0.932558,0.94242
c0039,0.053438,0.249062,66.5625,0.93375,2.1125e-09,-1.271875,0.421875,0.164062,1.0,2.0328,0.003976,0.306476,0.754309,0.762317
c0040,0.043438,0.339062,76.5625,0.97375,1.7125e-09,-0.971875,-0.078125,0.014062,1.0,2.0328,0.000258,0.382758,1.009851,1.010528
c0041,0.044688,0.207812,65.3125,0.99875,2.2625e-09,-0.859375,0.234375,0.107812,1.0,2.0328,0.002714,0.255214,0.639569,0.64572
c0042,0.054688,0.277812,75.3125,0.95875,1.8625e-09,-1.159375,-0.265625,0.257812,1.0,2.0328,0.00488,0.33738,0.874837,0.883893
c0043,0.059688,0.232812,60.3125,0.97875,2.0625e-09,-1.009375,0.484375,0.182812,1.0,2.0328,0.005396,0.297896,0.571089,0.579367
c0044,0.049688,0.322812,70.3125,0.93875,2.4625e-09,-0.709375,-0.015625,0.032812,1.0,2.0328,0.000713,0.373213,0.950039,0.951816
c0045,0.047188,0.265312,77.8125,0.92875,2.3625e-09,-0.934375,0.359375,0.220312,1.0,2.0328,0.003907,0.316407,0.914832,0.923479
c0046,0.057188,0.335312,67.8125,0.96875,1.9625e-09,-1.234375,-0.140625,0.070312,1.0,2.0328,0.001642,0.394142,0.925281,0.928878
c0047,0.052188,0.220313,72.8125,0.94875,1.7625e-09,-1.084375,0.109375,0.145312,1.0,2.0328,0.002943,0.275443,0.700577,0.706953
c0048,0.042188,0.310312,62.8125,0.98875,2.1625e-09,-0.784375,-0.390625,0.295312,1.0,2.0328,0.008036,0.360536,0.795123,0.807138
c0049,0.041562,0.235938,75.9375,0.93125,2.0375e-09,-1.253125,-0.234375,0.135938,1.0,2.0328,0.002531,0.280031,0.907046,0.91413
c0050,0.051562,0.305938,65.9375,0.97125,2.4375e-09,-0.953125,0.265625,0.285938,1.0,2.0328,0.007061,0.364561,0.849807,0.861038
c0051,0.056562,0.260938,70.9375,0.95125,2.2375e-09,-0.803125,-0.484375,0.210938,1.0,2.0328,0.004501,0.322001,0.811606,0.820322
c0052,0.046562,0.350938,60.9375,0.99125,1.8375e-09,-1.103125,0.015625,0.060938,1.0,2.0328,0.001762,0.399262,0.830417,0.833882
c0053,0.049062,0.248437,68.4375,0.98125,1.7375e-09,-1.178125,-0.359375,0.173438,1.0,2.0328,0.003976,0.301476,0.743689,0.751685
c0054,0.059062,0.318438,78.4375,0.94125,2.1375e-09,-0.878125,0.140625,0.023438,1.0,2.0328,0.000409,0.377909,0.997396,0.998466
c0055,0.054062,0.203438,63.4375,0.96125,2.3375e-09,-0.728125,-0.109375,0.098438,1.0,2.0328,0.002626,0.260126,0.591842,0.597273
c0056,0.044062,0.293438,73.4375,0.92125,1.9375e-09,-1.028125,0.390625,0.248438,1.0,2.0328,0.004946,0.342446,0.85685,0.86584
c0057,0.042812,0.264687,64.6875,0.94625,2.4875e-09,-1.140625,-0.296875,0.154688,1.0,2.0328,0.003969,0.311469,0.871191,0.880439
c0058,0.052812,0.334688,74.6875,0.98625,2.0875e-09,-0.840625,0.203125,0.004688,1.0,2.0328,9e-05,0.38759,0.989192,0.989421
c0059,0.057812,0.209688,69.6875,0.92625,1.8875e-09,-0.990625,-0.046875,0.079688,1.0,2.0328,0.001762,0.269262,0.649838,0.653783
c0060,0.047812,0.299688,79.6875,0.96625,2.2875e-09,-1.290625,0.453125,0.229688,1.0,2.0328,0.003883,0.351383,1.109767,1.118941
c0061,0.045312,0.202188,72.1875,0.97625,2.1875e-09,-1.065625,-0.171875,0.117188,1.0,2.0328,0.002414,0.249914,0.776352,0.783045
c0062,0.055312,0.272188,62.1875,0.93625,1.7875e-09,-0.765625,0.328125,0.267188,1.0,2.0328,0.007418,0.334918,0.551497,0.560104
c0063,0.050312,0.237187,77.1875,0.99625,1.9875e-09,-0.915625,-0.421875,0.192188,1.0,2.0328,0.003463,0.290963,0.849466,0.857597
c0064,0.040312,0.327187,67.1875,0.95625,2.3875e-09,-1.215625,0.078125,0.042188,1.0,2.0328,0.001003,0.368503,1.046581,1.049348
c0065,0.040469,0.263281,76.40625,0.986875,2.2188e-09,-1.032812,0.164062,0.063281,1.0,2.0328,0.001164,0.304914,0.997149,1.000773
c0066,0.050469,0.333281,66.40625,0.946875,1.8188e-09,-0.732812,-0.335938,0.213281,1.0,2.0328,0.005193,0.388943,0.786116,0.794009
c0067,0.055469,0.208281,71.40625,0.966875,2.0187e-09,-0.882812,0.414062,0.288281,1.0,2.0328,0.00607,0.26982,0.591671,0.601129
